,country,happiness_score,beer_percapita,spirit_percapita,wine_percapita
327,Senegal,4.53499984741211,9,1,7
328,Zambia,4.513999938964839,32,19,4
329,Gabon,4.46500015258789,347,98,59
330,Armenia,4.37599992752075,21,179,11
331,Georgia,4.28599977493286,52,100,149
332,Mali,4.19000005722046,5,1,1
333,Cambodia,4.1680002212524405,57,65,1
334,Ghana,4.11999988555908,31,3,10
335,Ukraine,4.09600019454956,206,237,45
336,Burkina Faso,4.03200006484985,25,7,7
337,Niger,4.02799987792969,3,2,1
338,Malawi,3.97000002861023,8,11,1
339,Chad,3.9360001087188703,15,1,1
340,Zimbabwe,3.875,64,18,4
341,Angola,3.79500007629395,217,57,45
342,Botswana,3.7660000324249303,173,35,35
343,Benin,3.65700006484985,34,4,13
344,Madagascar,3.64400005340576,26,15,4
345,Haiti,3.6029999256133998,1,326,1
346,Liberia,3.5329999923706095,19,152,2
347,Togo,3.4949998855590803,36,2,19
348,Syria,3.46199989318848,5,35,16
349,Tanzania,3.34899997711182,36,6,1
350,Finland,7.632000000000001,263,133,97
351,Norway,7.593999999999999,169,71,129
352,Denmark,7.555,224,81,278
353,Iceland,7.495,233,61,78
354,Switzerland,7.487,185,100,280
355,Netherlands,7.441,251,88,190
356,Canada,7.327999999999999,240,122,100
357,New Zealand,7.324,203,79,175
358,Sweden,7.314,152,60,186
359,Australia,7.272,261,72,212
360,United Kingdom,7.19,219,126,195
361,Austria,7.138999999999999,279,75,191
362,Costa Rica,7.072,149,87,11
363,Ireland,6.977,313,118,165
364,Germany,6.965,346,117,175
365,Belgium,6.9270000000000005,295,84,212
366,Luxembourg,6.91,236,133,271
367,United States,6.886,249,158,84
368,Israel,6.814,63,69,9
369,United Arab Emirates,6.774,16,135,5
370,Czech Republic,6.711,361,170,134
371,Malta,6.627000000000001,149,100,120
372,France,6.489,127,151,370
373,Mexico,6.4879999999999995,238,68,5
374,Chile,6.476,130,124,172
375,Panama,6.43,285,104,18
376,Brazil,6.419,245,145,16
377,Argentina,6.388,193,25,221
378,Guatemala,6.382000000000001,53,69,2
379,Uruguay,6.379,115,35,220
380,Qatar,6.374,1,42,7
381,Singapore,6.343,60,12,11
382,Spain,6.31,284,157,112
383,Colombia,6.26,159,76,3
384,Slovakia,6.172999999999999,196,293,116
385,El Salvador,6.167000000000001,52,69,2
386,Nicaragua,6.141,78,118,1
387,Poland,6.122999999999999,343,215,56
388,Bahrain,6.105,42,63,7
389,Uzbekistan,6.096,25,101,8
390,Thailand,6.072,99,258,1
391,Italy,6.0,85,42,237
392,Ecuador,5.973,162,74,3
393,Belize,5.956,263,114,8
394,Lithuania,5.952000000000001,343,244,56
395,Slovenia,5.9479999999999995,270,51,276
396,Romania,5.945,297,122,167
397,Latvia,5.933,281,216,62
398,Japan,5.915,77,202,16
399,Mauritius,5.891,98,31,18
400,Jamaica,5.89,82,97,9
401,South Korea,5.875,140,16,9
402,Kazakhstan,5.79,124,246,12
403,Cyprus,5.7620000000000005,192,154,113
404,Bolivia,5.752000000000001,167,41,8
405,Estonia,5.739,224,194,59
406,Paraguay,5.681,213,117,74
407,Peru,5.662999999999999,163,160,21
408,Moldova,5.64,109,226,18
409,Turkmenistan,5.636,19,71,32
410,Hungary,5.62,234,215,185
411,Philippines,5.524,71,186,1
412,Honduras,5.504,69,98,2
413,Belarus,5.483,142,373,42
414,Turkey,5.483,51,22,7
415,Portugal,5.41,194,67,339
416,Serbia,5.398,283,131,127
417,Greece,5.358,133,112,218
418,Lebanon,5.358,20,55,31
419,Montenegro,5.347,31,114,128
420,Croatia,5.321000000000001,230,87,254
421,Dominican Republic,5.3020000000000005,193,147,9
422,Morocco,5.254,12,6,10
423,China,5.246,79,192,8
424,Azerbaijan,5.2010000000000005,21,46,5
425,Macedonia,5.185,106,27,86
426,Jordan,5.1610000000000005,6,21,1
427,Nigeria,5.155,42,5,2
428,Kyrgyzstan,5.131,31,97,6
429,Bosnia and Herzegovina,5.129,76,173,8
430,Mongolia,5.125,77,189,8
431,Vietnam,5.103,111,2,1
432,Cameroon,4.975,147,1,4
433,Bulgaria,4.933,231,252,94
434,Venezuela,4.806,333,100,3
435,Gabon,4.758,347,98,59
436,South Africa,4.724,225,76,81
437,Ghana,4.657,31,3,10
438,Senegal,4.631,9,1,7
439,Tunisia,4.592,51,3,20
440,Albania,4.586,89,132,54
441,Sierra Leone,4.571000000000001,25,3,2
442,Mali,4.447,5,1,1
443,Namibia,4.441,376,3,1
444,Cambodia,4.433,57,65,1
445,Burkina Faso,4.4239999999999995,25,7,7
446,Egypt,4.419,6,4,1
447,Kenya,4.41,58,22,2
448,Zambia,4.377,32,19,4
449,Georgia,4.34,52,100,149
450,Armenia,4.321000000000001,21,179,11
451,Chad,4.301,15,1,1
452,Niger,4.166,3,2,1
453,Benin,4.141,34,4,13
454,Ukraine,4.103,206,237,45
455,Togo,3.9989999999999997,36,2,19
456,Angola,3.795,217,57,45
457,Madagascar,3.7739999999999996,26,15,4
458,Zimbabwe,3.6919999999999997,64,18,4
459,Botswana,3.59,173,35,35
460,Malawi,3.5869999999999997,8,11,1
461,Haiti,3.582,1,326,1
462,Liberia,3.495,19,152,2
463,Syria,3.4619999999999997,5,35,16
464,Tanzania,3.303,36,6,1
465,Finland,7.769,263,133,97
466,Denmark,7.6,224,81,278
467,Norway,7.553999999999999,169,71,129
468,Iceland,7.494,233,61,78
469,Netherlands,7.4879999999999995,251,88,190
470,Switzerland,7.48,185,100,280
471,Sweden,7.343,152,60,186
472,New Zealand,7.307,203,79,175
473,Canada,7.278,240,122,100
474,Austria,7.246,279,75,191
475,Australia,7.228,261,72,212
476,Costa Rica,7.167000000000001,149,87,11
477,Israel,7.138999999999999,63,69,9
478,Luxembourg,7.09,236,133,271
479,United Kingdom,7.053999999999999,219,126,195
480,Ireland,7.021,313,118,165
481,Germany,6.985,346,117,175
482,Belgium,6.922999999999999,295,84,212
483,United States,6.892,249,158,84
484,Czech Republic,6.852,361,170,134
485,United Arab Emirates,6.825,16,135,5
486,Malta,6.726,149,100,120
487,Mexico,6.595,238,68,5
488,France,6.5920000000000005,127,151,370
489,Chile,6.444,130,124,172
490,Guatemala,6.436,53,69,2
491,Qatar,6.374,1,42,7
492,Spain,6.354,284,157,112
493,Panama,6.321000000000001,285,104,18
494,Brazil,6.3,245,145,16
495,Uruguay,6.292999999999999,115,35,220
496,Singapore,6.2620000000000005,60,12,11
497,El Salvador,6.252999999999999,52,69,2
498,Italy,6.223,85,42,237
499,Bahrain,6.199,42,63,7
500,Slovakia,6.1979999999999995,196,293,116
501,Poland,6.182,343,215,56
502,Uzbekistan,6.1739999999999995,25,101,8
503,Lithuania,6.149,343,244,56
504,Colombia,6.125,159,76,3
505,Slovenia,6.117999999999999,270,51,276
506,Nicaragua,6.105,78,118,1
507,Argentina,6.086,193,25,221
508,Romania,6.07,297,122,167
509,Cyprus,6.046,192,154,113
510,Ecuador,6.028,162,74,3
511,Thailand,6.007999999999999,99,258,1
512,Latvia,5.94,281,216,62
513,South Korea,5.895,140,16,9
514,Estonia,5.893,224,194,59
515,Jamaica,5.89,82,97,9
516,Mauritius,5.888,98,31,18
517,Japan,5.886,77,202,16
518,Honduras,5.86,69,98,2
519,Kazakhstan,5.809,124,246,12
520,Bolivia,5.779,167,41,8
521,Hungary,5.757999999999999,234,215,185
522,Paraguay,5.742999999999999,213,117,74
523,Peru,5.697,163,160,21
524,Portugal,5.693,194,67,339
525,Philippines,5.631,71,186,1
526,Serbia,5.603,283,131,127
527,Moldova,5.529,109,226,18
528,Montenegro,5.523,31,114,128
529,Croatia,5.432,230,87,254
530,Dominican Republic,5.425,193,147,9
